Date,Harga Asli,Harga Prediksi,Selisih (Rp),Error (%)
2024-04-24,9542.0009765625,9180.692251748918,361.30872481358165,3.786508990106422
2024-04-25,9374.1767578125,9247.759020504669,126.41773730783098,1.348574286296379
2024-04-26,9230.3271484375,9282.58930082534,-52.262152387840615,0.5662004341491569
2024-04-29,9398.1513671875,9382.039589556756,16.111777630743745,0.17143560474026898
2024-04-30,9398.1513671875,9398.956691821211,-0.8053246337112796,0.008568968536971776
2024-05-02,9158.4033203125,9314.990800319894,-156.58748000739433,1.709768335492472
2024-05-03,9446.1015625,9333.445528731423,112.65603376857689,1.1926193363811495
2024-05-06,9398.1513671875,9373.650169108387,24.501198079113237,0.2607023139109696
2024-05-07,9302.2529296875,9354.345969709764,-52.09304002226418,0.5600045539077187
2024-05-08,8990.5791015625,9264.83246078543,-274.25335922293016,3.050452658553072
2024-05-13,9134.427734375,9262.065119163875,-127.63738478887535,1.3973221804420854
2024-05-14,9158.4033203125,9195.383825605986,-36.9805052934862,0.4037876909337114
2024-05-15,9110.453125,9131.313793012796,-20.86066801279594,0.2289750874800307
2024-05-16,9206.353515625,9111.03310046978,95.32041515521996,1.0353764386023456
2024-05-17,9350.2021484375,9190.585996355087,159.61615208241346,1.7070877137034595
2024-05-20,9086.478515625,9180.528363181325,-94.0498475563254,1.0350527698337526
2024-05-21,8990.5791015625,9142.933528835274,-152.35442727277405,1.6946008210560755
2024-05-22,9038.529296875,9126.867367564417,-88.33807068941678,0.9773500509641427
2024-05-27,8918.654296875,9061.501707046718,-142.84741017171837,1.60166999882225
2024-05-28,8918.654296875,8964.661124704893,-46.006827829893155,0.5158494353348066
2024-05-29,8774.8046875,8898.536024189525,-123.73133668952505,1.4100751081763043
2024-05-30,8630.9560546875,8821.655087303941,-190.6990326164414,2.2094775064098737
2024-05-31,8870.705078125,8786.468282834601,84.23679529039873,0.9496065368932753
2024-06-03,8894.6806640625,8784.279310573893,110.40135348860713,1.2412064879930509
2024-06-04,8966.603515625,8798.37203121405,168.23148441094963,1.8762007723191203
2024-06-05,9062.50390625,8864.42567270224,198.07823354775974,2.185689910833077
2024-06-06,9086.478515625,8970.168531637857,116.30998398714291,1.2800336652657864
2024-06-07,8942.62890625,8989.981859971427,-47.352953721427184,0.5295193865009005
2024-06-10,9134.427734375,9046.302536382806,88.12519799219444,0.9647588284108768
2024-06-11,8918.654296875,9035.40544906085,-116.75115218585051,1.3090669096430707
2024-06-12,8870.705078125,8993.247225494943,-122.54214736994254,1.3814251098498278
2024-06-13,8822.7548828125,8935.396465723454,-112.64158291095373,1.276716676447505
2024-06-14,8822.7548828125,8910.05218682906,-87.29730401655979,0.9894562999434858
2024-06-19,8678.90625,8809.794901997739,-130.88865199773863,1.5081238145387115
